を向上させる;よくなる,improve
くつろぐ；緩む；をくつろがせる；を緩める,relax
（到達）目標；的,target
目的,aim
主義；信条；原則；原理,principle
規範；標準,norm
戦略,strategy
跡；軌道；（鉄道の）番線；走路,track
進歩；前進,progress
個性；性格,personality
（しばしば～ｓ）特徴,characteristic
方法；物腰；（～ｓ）作法,manner
装置；機器；方策,device
起源；源,origin;
遺伝子,gene
大気；雰囲気,atmosphere
傾向；流行,trend
現象;,phenomenon
状況；背景；文脈,context
（通例～ｓ）状況；事情；境遇,circumstance
苦痛；苦悩；（～ｓ）骨折り,pain
戦い；懸命の努力,struggle
汚染　,pollution;
脅威；兆し；恐れ；脅迫,threat
災害；惨事,disaster
（通例～ｓ）結果；重大性,consequence
革命；回転；（天体の）公転,revolution
大部分；多数派,majority
かたまり；大量；一般大衆,mass
在庫品；蓄え；株,stock
富；資源；富裕（状態）,wealth
文学；文献；印刷物,literature
(the~ties)（関係）当局；権威；権限,authority
機関；協会；施設；制度,institution
（社会的な）慣習；（～ｓ）税関；（～ｓ）関税,custom
光景；（the～s）名所；目にすること；視野；視力,sight
（感情」などの）表れ；展示；誇示,display
（職場の）同僚,colleague
居住者,resident
乗り物；車；伝達手段；媒体,vehicle
（・・・に）必要不可欠な(to)；本質的な,essential
気づいて,aware
精神の；知能の,mental
学問の；大学の,academic
並の；普通の；常勤の,ordinary
精通している；よく知られている,familiar
目新しい；斬新な,novel
特定の;明確な；具体的な；（・・・に）特有の（to）,specific
化学の；化学的な,chemical
財政（上）の；財界の,financial
活動的な；効力のある；積極的な,active
否定の；消極的な,negative
直接の;率直な,direct
明らかな,obvious
現在の；現代の；通用している,current
都市の；都会的な,urban
さらに,furthermore
同様に,likewise
（文中、文末で）けれど,though
それにもかかわらず,nevertheless
それによって,thereby
それゆえに=therefore,hence
を正当に評価する；を鑑賞する；を感謝する,appreciate
（を）認める；に入場を［入学などを］認める,admit
を予言［予測］する,predict
を得る；を習得する,acquire
を採用する；（態度など）をとる；を養子にする,adopt
を購入する,purchase
を持つ［する］余裕がある；を与える,afford
を消費する；を食べる；飲む,consume
を取り除く；を解雇する,remove
に適する；に似合う；を適合させる,suit
（を）拡大する；（を）詳説する,expand
を伸ばす；延ばす；伸びる；及ぶ,extend
（を）調査する；（を）探検する,exprore
（を）判断する；に判決を下す,judge
を論証［証明］する；デモをする,demonstrate
（を）強く主張する,insist
訴える；抗議する；上訴する,appeal
を納得［確信］させる,convince
を解決する；（に）移り住む,settle
を援助する；助ける,aid
を教育する；に教える；（能力など）を養う,educate
を従事させる；を（・・・として）雇う（as）；（・・・に）従事する（in/with）,engage
を結び付ける；（・・・と）結びつく（with）,combine
を組織する；を準備する,organize
を操作する；機能する；手術する,operate
を思い出す；を呼び出す,recall
頼る(≒depend),rely
をびっくりさせる,amaze
を混同する；を当惑させる,confuse
を責める；の責任を負わせる,blame
を批判する；を批評する,criticize
振る舞う；作用する,behave
に遭遇する；に（思いがけず）出会う,encounter
を選ぶ；精選する,select
流れる；（・・・から）生じる,flow
（徐々に）発展する；進化する,evolve
凍る；態度を固くする；を凍らせる,freeze
を放出する；を解放する；を発展する,release
の位置を探し当てる；（受身形で）位置する,locate
を宣伝する；（・・・を求める）広告を出す,advertise
想像（力）,imagination
観点；大局観；遠近法,perspective
自信；信頼；秘密,confidence
業績；達成；成就,achievement
報酬；報い,reward
（大）企業；法人,corporation
資本；首都；大文字,capital;
顧客；（弁護士などの）依頼人,client
危機,crisis
害,harm
犠牲（者）；被害者,victim
選択（の自由）；選択肢,option
運動；軍事行動,campaign
裁判所；法廷；裁判；宮廷；中庭,court
規範；暗号；符号；法典,code
犯罪者；犯人,criminal
農業；農学；畜産,agriculture
宗教；信仰；信仰（心）,religion
哲学；原理；人生観,philosophy
会議；協議,conference
（公）文書；記録；資料,document
統計；統計学,statistics
分析（結果）,analysis
仮説；憶測,hypothesis
概念；観念；見解；意向,notion
固定観念；決まり文句,stereotype
（書物などの）論評；再調査；復習,review
語彙,vocabulary
臓器；組織,organ
（社会的・文化的）性別,gender
化石；時代遅れの人［人物］,fossil
氷河,glacier
実験室；研究室,laboratory
ウイルス,virus
場合；時；行事；機会,occasion
大臣；（プロテスタント系の）聖職者,minister
存在；出席；面前,presence
物質；実質；趣旨,substance
創造的な；独創的な；想像力のある,creative
潜在的な；可能性を秘めた,potential
（・・・から）独立した(of/from),independent
いとわない,willing
効率的な；有能な,efficient
理想的な；観念的な,ideal
遺伝（子）の；発生の,genetic
全体の；全部の；完全な,entire
相対的な；比較上の;関連した,relative
極端な；極度の；過激な,extreme
広大な；莫大な,vast
とても小さな；わずかな,tiny
人の住まない；砂漠の（ような）,desert
田舎の,rural
以前の；前の,previous
法律の；合法の,legal
近頃は,nowadays
めったに・・・ない,seldom
（２つの事柄を対比して）一方；その間,meanwhile
（the~）（二者のうちの）後者,latter
A対B;AかBか,versus
すべて（のもの）；全く,all
を知覚する,perceive
を予期する：を期待する,expect
を意図する,intend
を要請する；に（～するように）頼む,request
に思い出させる,remind
（人）を触発する；を喚起する,inspire
を魅了する,fascinate
を強調する；を重視する,emphasize
を勧める,recommend
を提案する；をもくろむ；結婚を申し込む,propose
を区別する,distinguish
を複雑にする,complicate
を変える；変わる,transform
（功績など）を（・・・に）帰する；を信じる,credit
（判断など）を保留する；を予約する；をとっておく,reserve
に反対する；に対抗［対比］させる,oppose
を否定する；を拒む,deny
を拒否する,reject
を（法的に）禁止する；を締め出す,ban
（人）を怖がらせる,frighten
参加する,participate
競う；匹敵する,compete
を克服する,overcome
生じる,arise
を生み出す,generate
を得る,obtain
を雇う；を使う,employ
を輸入する；を取り入れる,import
を処理する；を論じる；を商う,handle
を修理する；を修復する,repair
を治す；を除去する；（病気が）治る,cure
を輸送する,transport
を配達する；（演説・講義）をする；子を産む,deliver
急いでいく；性急に行動する；をせきたてる,rush
深くかかわる；（罪など）を犯す,commit
をひどく嫌う；を残念に思う,hate
を後悔する,regret
（・・・から）成る；（・・・に）ある,consist
を翻訳する；を（・・・に）変える,translate
と結論づける；を締めくくる；を締結する,conclude
快適さ；慰め,comfort
施設；設備；機能；才能,facility
特性,trait
人類；人間性；人情,humanity
部族,tribe
（集合的に）エリート,elite
弁護士,lawyer
部類；区分,category
（本・製品などの）版；解釈,version
多様性；相違点,diversity
割合；部分；釣り合い,proportion
器具；楽器,instrument
革新；新機軸,innovation
兵器；武器,weapon
方言,dialect
障壁；防壁；境界線,barrier
作り話；神話,myth
儀式；（日常の）習慣的行為,ritual
決まり切った仕事；いつもの手順,routine
緊急（事態）,emergency
不安；警報,alarm
収穫（物）；漁獲高,harvest
穀物；粒；きめ,grain
量,quantity
予算；経費,budget
（～ｓ）経費；費用；犠牲,expense
保険；保険料；保険金,insurance
貸付金；融資；貸し付け,loan
契約（書）；協定,contract
哺乳動物,mammal
乳児；幼児,infant
たんぱく質,protein
（生物の）組織；ティッシュペーパー,tissue
責任；欠点；誤り,fault
地域；近所,neighborhood
投票；投票結果；選挙権,vote
義務；職務；関税,duty
心理学,psychology
聡明な；知能を有する,intelligent
意識して；気づいて(≒aware),conscious
認知の,cognitive
敏感な；神経質な；微妙な,sensitive
正確な；精密な,accurate
厳格な；（規則などが）厳しい,strict
（人・規律などが）厳しい；猛烈な,severe
実際の,actual
視覚の；目に見える,visual
誤った；うその；偽の,false
違法の；不法の,illegal
暴力的な；（人・気質が）激しい,violent
軍の,military
市民の；民間の；民事の,civil
典型的な；（・・・に）特有の,typical
普遍的な；宇宙の；万能の,universal
絶え間ない；一定の,constant
基本的な；必須の,fundamental
最も重要な；第一の；初等（教育）の,primary
珍しい；希少な,rare
便利な；都合のいい,convenient
巨大な；莫大な,enormous
（を）集中する,concentrate
を調査する：を究明する：（・・・を）調査する,investigate
を調整する；を適合させる：順応する,adjust
の段取りをつける；を手配する：を配置する,arrange
を変える：変わる,alter
を確認する,confirm
を吸収する：を併合する,absorb
をさらす：暴露する：を露出する,expose
を移す；を伝える；移る；乗り換える,transfer
を捨てる；を放棄する,abandon
を傷つける；を損なう,injure
回復する；を取り戻す,recover
を（・・・のことで）賞賛する；賛美する,praise
に賛成する；を好む；をひいきする,favor
を祝う；を挙行する,celebrate
を保証する,guarantee
を確実にする；を守る,ensure
<!--anki-->を授与する；を裁定する,award
を与える；を認める,grant
を許可する,permit
を失望させる；（希望など）をくじく,disappoint
に恥ずかしい思いをさせる,embarrass
を悩ます；（・・・を）気にかける,bother
を動揺させる；を駄目にする,upset
に知らせる；情報を提供する,inform
（人）に（・・・について）警告する,warm
と命じる；を指揮する；を支配する；（景色を）見渡せる；を操る,command
を暗に意味する；を必然的に伴う,imply
のふりをする,pretend
を解釈する；（を）通訳する,interpret
反応する；化学反応を起こす,react
影響し合う；相互に作用する,interact
異なる,differ
呼吸する；を吸う,breathe
（を）じっとみる,stare
を飼育する；繁殖させる；繁殖する；生じる,breed
溶ける；なごむ；を溶かす,melt
（を）投資する；に（・・・を）与える,invest
を製造する；をでっちあげる,manufacture
を建設する；を構成する,construct
知恵；学識,wisdom
洞察力；見識,insight
規律；しつけ；訓練；懲役：学問分野,discipline
生息地；（人の）居住地,habitat
領土；（活動などの）領域,territory
植民地；居留地；（動植物の）コロニー,colony
地区；行政区,district
避難所；保護,shelter
風景；領域,landscape
住民；生息動物,inhabitant
憂鬱；うつ病；不況；低気圧,depression
神経；（～ｓ）神経過敏；（～する）度胸,nerve
（銃弾・刃物などによる）傷；痛手,wound
症状；兆候,symptom
療法；心理療法,therapy
福祉；幸福,welfare
出来事；事件；紛争,incident
目撃者；証人；証拠；証言,witness
（・・・を）ちらっとみること,glance
光線,ray
成分；材料；要素,ingredient
仲介者；代理人；薬剤,agent
料金；謝礼,fee
犠牲；いけにえ,sacrifice
負担；義務；積み荷,burden
層,layer
列；通り,row
（通例～ｓ）指示；（～ｓ）（製品の）使用書,instruction
編集者,editor
（漠然と）物；素材；素質,stuff
使命；（外交）使節団,mission
手続き；（一連の）措置,procedure
（外国からの）移住；入国管理事務所,immigration
ハイブリット車；（動植物の）雑種；混成物,hybrid
（試合・論争などの）相手；反対者,opponent
結果,outcome
平等；対等,equality
評判,reputation
能力がある；有能な,capable
適切な；正式の；（・・・に）固有の,proper
（・・・に；～するのに）十分な,sufficient
合理的な；分別のある；（値段が）手ごろな,reasonable
言語の,linguistic
言葉の；口頭での；逐語的な,verbal
２言語を使う,bilingual
現代の；同年代の；同年輩の,contemporary
従来の；月並みな,conventional
全体的な,overall
広範囲にわたる；広く普及した,widespread
家庭の；国内の；（動物が）飼いならされた,domestic
遠い；隔たった,distant
核の；原子力の,nuclear
厚い；太い；濃い,thick
（・・・と）反対の,contrary
仮想の；事実上の,virtual
攻撃的な；意欲的な,aggressive
邪悪な；有害な,evil
初級の；基本的な,elementary
１年間の；年1回の；例年の,annual
即座の；当面の；すぐそばの；直接の,immediate
に（・・・のことで）感嘆する,admire
賛成する；を承認する,approve
をささげる,devote
を追求する：に従事する,pursue
を支配する：（・・・より）優勢である,dominate
を所有している：の心をとらえる,possess
（時間・空間）を占める：占領する,occupy
を確保する：を守る,secure
を捕らえる：を引き付ける,capture
を貸す：（人）に（物）を与える,lend
を賃借りする：を賃貸しする,rent
を説得する：に確信させる,persuade
に促す；を強く主張する；を追い立てる,urge
を刺激する,stimulate
を悩ます；（受身形で）腹が立つ,annoy
をおびえさせる：を脅す,scare
衝突する：墜落する：をぶつけて壊す,crash
崩壊する；（人が）倒れる；を折りたたむ,collapse
と述べる；（・・・について）意見を述べる,remark
を説明する；に挿絵を入れる,illustrate
抗議する；を主張する,protest
を宣言する；を申告する,declare
を孤立させる,isolate
に同行する；に付随する,accompany
を取り巻く；にまつわる,surround
を危険にさらす,endanger
を疲れ果てさせる；を使い尽くす；排気する,exhaust
をかき乱す；を邪魔する；を不安にする,disturb
を当惑させる,puzzle
をやめる：（場所）を去る,quit
うまく処理する,cope
（価値など）を高める,enhance
を軽減する：和らぐ：緩む,ease
（・・・に；・・・のことで）謝る：弁明する,apologize
を認める：に謝意を表す,acknowledge
に似ている,resemble
（を）飲み込む；をうのみにする；に耐える,swallow
を分配する；（受身形で）分布する,distribute
（を）輸出する,export
を開始する；を売り出す：を発射する,launch
公正；正義；司法,justice
勇気,courage
情熱：熱中：激怒,passion
絆；債券；束縛；接着剤,bond
連れ：仲間,companion
気分；機嫌；雰囲気,mood
（・・・に対する）偏見,prejudice
（・・・に対する）差別：区別,discrimination
優先（事項）,priority
地球；世界：球,globe
半球,hemisphere
境界（線）；限界,boundary
小惑星；ヒトデ,asteroid
重力；引力；重量；重大さ,gravity
構成要素：部品,component
液体,liquid
軌道；範囲,orbit
痕跡：微量,trace
宝物：財産,treasure
論理；道徳；原理,logic
（地方）議会；評議会；（公の）会議,council
職業；専門職：同業者仲間,profession
秘書：事務官：長官,secretary
陪審（員団）；審査員団,jury
内科医,physician
外科医：軍医,surgeon
護衛者：監視；警戒,guard
免許（証）,license
食料雑貨；食料雑貨店,grocery
ごみ；乱雑な状態,litter
干ばつ：（慢性的な）不足,drought
炎；強い輝き,blaze
わな：苦境,trap
運命：結末：最期,fate
ぜいたく（品）；（形容詞的に）豪華な,luxury
（・・・の）例外,exception
金額；合計；要点,sum
（動植物などの）保護；保存,conservation
民主主義の；民主的な,democratic
非常に数の多い,numerous
小さい；重要ではない,minor
よりすぐれた,superior
主要な；資本金の,principal
重要な；厳しい,crucial
必要不可欠な；生き生きした；生命にかかわる,vital
理性的な；合理的な,rational
心配して；切望して,anxious
好奇心の強い；奇妙な,curious
無礼な；粗野な,rude
（・・・から）遠く離れた；かけ離れた,remote
熱帯の,tropical
海の；船舶の,marine
異常な；並みはずれた,extraordinary
奇妙な；奇数の,odd
生物学（上）の,biological
人種の；民族の,racial
初めの,initial
明らかに異なる；明瞭な,distinct
純粋な；潔白な；全くの,pure
正確な：まさにその,exact
を持続させる：支える,sustain
を防御する：を弁護する,defend
を促進する：を養育する：を心に抱く,foster
を積み重ねる：積み重なる,pile
を付ける：付与する,attach
を注ぐ：を放出する：激しく降る：押し寄せる,pour
に積む：に負わせる,load
を伸ばす：を広げる：伸びる：及ぶ,stretch
を伝える：を運ぶ,convey
由来する：を引き出す：を推論する,derive
を有効活用する：を引き出す：を軽くたたく,tap
を計算する：を予測する,calculate
ではないかと思う;を疑う,suspect
を感知する：を見つけ出す,detect
（結果など）を（・・・に）帰する,attribute
を評価する：を査定する,evaluate
を非難する：告訴する,accuse
を告訴する：（・・・を求めて）訴訟を起こす,sue
（・・・から）引退する：退職する,retire
縮む：減少する：ひるむ,shrink
おじぎする；屈服する,bow
（・・・を）じっと見る,peer
を喜ばせる；（・・・を）大いに喜ぶ,delight
を和らげる；（受身形で）安心する,relieve
（人）にやる気をなくさせる；落胆させる,discourage
を挫折させる；（受身形で）（・・・に）不満を抱く,frustrate
を怠る；を無視する,neglect
に抵抗する：（否定文で）に耐える,resist
を制限する,restrict
を取り除く,eliminate
（を）打つ；打ち負かす,beat
を負かす；を失敗させる,defeat
を罰する；に損傷を与える,punish
を禁止する,prohibit
に値する,deserve
（問題など）を提起する；ポーズをとる：を装う,pose
を折りたたむ；畳める；（腕など）を組む,fold
を監視する；を傍受する,monitor
専門とする；（・・・を）専攻する,specialize
を成し遂げる,accomplish
（・・・への）信頼；信仰（心）,faith
（・・・への）野望；野心,ambition
（・・・への）熱情,enthusiasm
光栄；名誉；敬意,honor
割引,discount
（乗り物の）料金,fare
枠；縁；骨組み：体格,frame
方式；気分；形態；流行,mode
建築；建築様式；構造,architecture
一連（のもの）；連続,sequence
語法；使用（法）,usage
濫用；虐待,abuse
殺虫剤；除草剤,pesticide
花粉,pollen
県；府,prefecture
（the~）地理；地理学,geography
管理（部）；行政；政府（機関）,administration
（・・・の）候補（者）；志願者,candidate
英　ごみ：つまらないもの,rubbish
偏見：傾向,bias
悪；欠点,vice
借金；恩義,debt
見込み；展望；有望な人,prospect
遠征隊,expedition
集まり；（議会の）会期；（開会中の）議会,session
学期,semester
（岩や砂の）礁；暗礁,reef
鉱物；ミネラル,mineral
兄弟,sibling
ことわざ,proverb
本能；（自然に起こる）衝動；勘,instinct
最小限度,minimum
千年間；千年紀,millennium
寄贈者；臓器［血液］提供者,donor
（牛などの）群れ；群衆,herd
（競技）連盟；同盟,league
協力,cooperation
妖精の（ような）,fairy
正確な；精密な；まさにその,precise
強烈な；熱烈な,intence
固体の；頑丈な,solid
永続的な,permanent
短い；簡潔な,brief
融通の利く；柔軟な,flexible
形式ばらない；略式の,informal
一時的な,temporary
頻繁な,frequent
（目に）見える；明白な,visible
外部の；対外的な；表面的な,external
内部の；国内の；内面的な,internal
明らかな；平易な；率直な,plain;
謙虚な；適度な；質素な,modest
等しい；相当する,equivalent
信じられない；すばらしい,incredible
罪悪感のある；（・・・についての）有罪,guilty
生の；未加工の,raw
体を使う；手の；手動式の,manual
文学の；文語の,literary
人工の；不自然な,artificial
洗練された；精巧な,sophisticated
を磨く；を洗練させる,polish
を受け入れる；を抱擁する；を包含する,embrace
を構成する：を創作する；を鎮静する,compose
をまねる；を模造する,imitate
をもたらす；を産出する；を（・・・に）譲る；（・・・に）屈する,yield
を展示する；（感情など）を表す,exhibit
を感動させる；に印象を与える,impress
を圧倒する；を打ちのめす,overwhelm
を中断させる；（の）邪魔をする,interrupt
に耐える；存続する,endure
に立ち向かう；（困難などが）に立ちはだかる,confront
（に）相談する：を参照する,consult
（bump intoで）に偶然であう；（に）ぶつかる；をぶつける,bump
に異議を唱える；（を）議論する,dispute
を交渉する；を（交渉して）取り決める,negotiate
を正当化させる,justify
を解決する；を決意する；を議論する,resolve
を逆転させる；を反対にする,reverse
を変える；を交換する,convert
を課す；を押し付ける,impose
（を）支配する；（を）統治する,govern
を尊敬する；を見なす,esteem
（を）援助する；を手伝う,assist
を救う,rescue
を楽しませる；をもてなす,entertain
を駄目にする；を破滅させる；滅亡する,ruin
を埋める；を埋葬する；を隠す,bury
に借りがある；のおかげである,owe
（を）噛む,chew
を曲げる；を屈服させる；曲がる,bend
を引用する：を引き合いに出す,quote
を分類する；を機密扱いにする,classify
を密閉する；に封をする,seal
を逮捕する；を止める；（注意）を引く,arrest
を代わりに使う；（・・・の）代理をする,substitute
を保持する；を覚えている,retain
を回復させる；を修復する,restore
浮かぶ；漂う；を浮かべる,float
跳ぶ；さっと動く；急上昇する,leap
花が咲く；発展する,blossom
利点；功績；真価,merit
能力；機能；学部；教授陣,faculty
魅力；お守り,charm
栄養（の摂取）,nutrition
（水以外の）飲み物；飲料,beverage
調理法；レシピ；手順,recipe
分子；微粒子,molecule
生態学；生態系；環境保護,ecology
倫理；道徳,ethics
人類,mankind
国籍；国民；国民性,nationality
年金,pension
計画；体系；陰謀,scheme
避難所；保護区；港,haven
形成；構成物；隊列,formation;
骨格；骨組み,skeleton
核心；芯,core
（草木の）茎；幹,stem
期間；範囲,span
制限；（通例～ｓ）限界,limitation
（・・・に対する）障害物,obstacle
州；県；地方；分野,province
星雲；銀河,galaxy
感覚；大評判,sensation
同情；（・・・に対する）共感,sympathy
哀れみ；残念なこと,pity
悲劇（的な事件）,tragedy
離婚；分離,divorce
窃盗（罪）,theft
狼狽；パニック,panic
後退；退却；引退,retreat
刑務所；拘置所,jail
刃；（プロペラなどの）羽根；（草などの）葉,blade
脳卒中；打つこと；一撃,stroke
（・・・の）手がかり；（パズルの）ヒント,clue
（順番を待つ）列,quene
企業；事業；進取の気性,enterprise
財産；幸運；運命,fortune
安定した；動じない,stable
着実な；安定した,steady
成熟した；熟した,mature
（・・・を）熱望して；熱心な,eager
気が進まない；嫌がる,reluctant
ひょうきんな；ユーモアのある,humorous
流ちょうな,fluent
最も重要な；第一の,prime
貴重な；高価な,precious
芸術的な,artistic
民族の；人種の；民族特有の,ethnic
原始的な；未開の,primitive
連邦（政府）の,federal
王の,royal
相互の；共通の,mutual
明白な；一見・・・らしい,apparent
何気ない；形式ばらない,casual
わずかな；とるに足らない,slight
単なる；ほんの,mere
余分の；予備の,spare
抽象的な,abstract
究極の,ultimate
危険を冒して進む：思い切ってする,venture
（を）追跡する；（を）追求する,chase
移住する；（鳥などが）渡る,migrate
（から）逃げる,flee
を揺らす；振る；揺れる；一変する,swing
躊躇する,hesitate
を延期する,postpone
を引き出す；を撤回する；撤退する,withdraw
を握る；をとらえる,grip
をつかむ；を横領する；を急いで食べる,grab
を把握する；をしっかり握る,grasp
じっと見る,gaze
を注意深く調べる；をざっと見る,scan
を予想する；を予報する,forecast
を記録する；登録する；を示す,register
を主張する；を擁護する,advocate
を引き起こす,trigger
を養う；を栽培する,cultivate
（人）に資格を与える；資格がある,qualify
